Դրամական Միվորներ ըստ երկրի։
Խորվաթիա Կունա  Բրազիլիա ռեալ 
Խորվաթիա Կունա  Բուլղարիա լեվ
Խորվաթիա Կունա  Կամբոջիա Ռիյել
Խորվաթիա Կունա  Կանադա դոլարը
Դանիա Կռոն Եվրոպա եվրո
Դանիա Կռոն Հունգարիա ֆորինտ
Դանիա Կռոն Հնդկաստան ռուփի
Դանիա Կռոն Իրանռիալ 
Դանիա Կռոն Ճապոնիա իեն
Դանիա Կռոն Կորեայի հավաքականը հաղթեց
Դանիա Կռոն Լատվիա լատս 
Դանիա Կռոն Լիտվա լիտաս 
Դանիա Կռոն Մակեդոնիա դենար 
Դանիա Կռոն Մալայզիա Ռինգիթ
Դանիա Կռոն Մեքսիկա Պեսո
Դանիա Կռոն Նիգերիա ՆԱԻՌԱ 
Դանիա Կռոն Լեհաստան զլոտի
Դանիա Կռոն Ռումինիա Լեու 
Դանիա Կռոն Ռուսաստանը ռուբլի 
Դանիա Կռոն Շվեդիա կռոն 
Դանիա Կռոն Թաիլանդ բահթ 
Դանիա Կռոն Ուկրաինայի գրիվեն 
Դանիա Կռոն ԱՄՆ դոլար
Դանիա Կռոն Վիետնամ Դոնգ 
Դանիա Կռոն Ալժիր դինար 
Դանիա Կռոն Անգոլա Կվանզա  
Դանիա Կռոն Արգենտինա Պեսո
Դանիա Կռոն Հայաստան դրամ
Դանիա Կռոն Բրազիլիա ռեալ 
Դանիա Կռոն Բուլղարիա լեվ
Դանիա Կռոն Կամբոջիա Ռիյել
Դանիա Կռոն Կանադա դոլարը
Դանիա Կռոն Խորվաթիա Կունա 
Եվրոպա եվրո Հունգարիա ֆորինտ
Եվրոպա եվրո Հնդկաստան ռուփի
Եվրոպան եվրո Իրանը ռիալ 
Եվրոպայում եվրո Ճապոնիա իեն
Եվրոպա եվրո Կորեայի հավաքականը հաղթեց
Եվրոպա եվրո Լատվիա լատս 
Եվրոպա եվրո Լիտվա լիտաս 
Եվրոպա եվրո Մակեդոնիա դենար 
Եվրոպա եվրո Մալայզիա Ռինգիթ
Եվրոպա եվրո Մեքսիկա Պեսո
Եվրոպա եվրո Նիգերիա ՆԱԻՌԱ 
Եվրոպա եվրո Լեհաստան զլոտի
Եվրոպա եվրո Ռումինիա Լեու 
Եվրոպան եվրո Ռուսաստանը ռուբլի 
Եվրոպա եվրո Շվեդիա կռոն 
Եվրոպա եվրո Թաիլանդ բահթ 
Եվրոպա եվրո Ուկրաինայի գրիվեն 
Եվրոպա եվրո ԱՄՆ դոլար
Եվրոպա եվրո Վիետնամ Դոնգ 
Եվրոպա եվրո Ալժիր դինար 
Եվրոպա եվրո Անգոլա Կվանզա  
Եվրոպա եվրո Արգենտինա Պեսո
Եվրոպան եվրո Հայաստան դրամ
Եվրոպա եվրո Բրազիլիա ռեալ 
Եվրոպա եվրո Բուլղարիա լեվ
Եվրոպա եվրո Կամբոջիա Ռիյել
Եվրոպա եվրո Կանադա դոլարը
Եվրոպա եվրո Խորվաթիա Կունա 
Եվրոպա եվրո Դանիա կրոնը
Հունգարիան ֆորինտ Հնդկաստան ռուփի
Հունգարիան ֆորինտ Իրանը ռիալ 
Հունգարիան ֆորինտ Ճապոնիա իեն
Հունգարիան ֆորինտ Կորեայի հավաքականը հաղթեց
Հունգարիան ֆորինտ Լատվիա լատս 
Հունգարիան ֆորինտ Լիտվա լիտաս 
Հունգարիան ֆորինտ Մակեդոնիա դենար 
Հունգարիան ֆորինտ Մալայզիա Ռինգիթ
Հունգարիան ֆորինտ Մեքսիկա Պեսո
Հունգարիան ֆորինտ Նիգերիա ՆԱԻՌԱ 
Հունգարիան ֆորինտ Լեհաստան զլոտի
Հունգարիա ֆորինտ Ռումինիա Լեու 
Հունգարիան ֆորինտ Ռուսաստանը ռուբլի 
Հունգարիան ֆորինտ Շվեդիա կռոն 
Հունգարիան ֆորինտ Թաիլանդ բահթ 
Հունգարիան ֆորինտ Ուկրաինայի գրիվեն 
Հունգարիան ֆորինտ ԱՄՆ դոլար
Հունգարիան ֆորինտ Վիետնամ Դոնգ 
Հունգարիան ֆորինտ Ալժիր դինար 
Հունգարիան ֆորինտ Անգոլա Կվանզա  
Հունգարիան ֆորինտ Արգենտինա Պեսո
Հունգարիան ֆորինտ Հայաստան դրամ
Հունգարիան ֆորինտ Բրազիլիա ռեալ 
Հունգարիայի ֆորինտ Բուլղարիա լեվ
Հունգարիան ֆորինտ Կամբոջիա Ռիյել
Հունգարիան ֆորինտ Կանադա դոլարը
Հունգարիան ֆորինտ Խորվաթիա Կունա 
Հունգարիան ֆորինտ Դանիա կրոնը
Հունգարիան ֆորինտ Եվրոպա եվրո
Հնդկաստանը Ռուփի Իրանը ռիալ 
Հնդկաստանը Ռուփի Ճապոնիա իեն
Հնդկաստանը Ռուփի Կորեայի հավաքականը հաղթեց
Հնդկաստանը Ռուփի Լատվիա լատս 
Հնդկաստանը Ռուփի Լիտվա լիտաս 
Հնդկաստանը Ռուփի Մակեդոնիա դենար 
Հնդկաստանը Ռուփի Մալայզիա Ռինգիթ
Հնդկաստանը Ռուփի Մեքսիկա Պեսո
Հնդկաստանը Ռուփի Նիգերիա ՆԱԻՌԱ 
Հնդկաստանը Ռուփի Լեհաստան զլոտի
Հնդկաստանը Ռուփի Ռումինիա Լեու 
Հնդկաստանը Ռուփի Ռուսաստանը ռուբլի 
Հնդկաստանը Ռուփի Շվեդիա կռոն 
Հնդկաստանը Ռուփի Թայլանդ բահթ 
Հնդկաստանը Ռուփի Ուկրաինայի գրիվեն 
Հնդկաստանը Ռուփի ԱՄՆ դոլար
Հնդկաստանը Ռուփի Վիետնամ Դոնգ 
Հնդկաստանը Ռուփի Ալժիր դինար 
Հնդկաստանը Ռուփի Անգոլա Կվանզա  
Հնդկաստանը Ռուփի Արգենտինա Պեսո
Հնդկաստանը Ռուփի Հայաստան դրամ
Հնդկաստանը Ռուփի Բրազիլիա ռեալ 
Հնդկաստանը Ռուփի Բուլղարիա լեվ
Հնդկաստանը Ռուփի Կամբոջիա Ռիյել
Հնդկաստանը Ռուփի Կանադա դոլարը
Հնդկաստանը Ռուփի Խորվաթիա Կունա 
Հնդկաստանը Ռուփի Դանիա կրոնը
Հնդկաստանը Ռուփի Եվրոպա եվրո
Հնդկաստանը Ռուփի Հունգարիա ֆորինտ
Իրանը ռիալ  Ճապոնիա իեն
Իրանը ռիալ  Կորեայի հավաքականը հաղթեց
Իրանը ռիալ  Լատվիա լատս 
Իրանը Ռիալ  Լիտվա լիտաս 
Իրանը ռիալ  Մակեդոնիա դենար 
Իրանը ռիալ  Մալայզիա Ռինգիթ
Իրանը ռիալ  Մեքսիկա Պեսո
Իրանը ռիալ  Նիգերիա ՆԱԻՌԱ 
Իրանը ռիալ  Լեհաստան զլոտի
Իրանը ռիալ  Ռումինիա Լեու 
Իրանը Ռիալ  Ռուսաստան ռուբլի
Իրանը ռիալ  Շվեդիա կռոն 
Իրանը ռիալ  Թաիլանդ բահթ 
Իրանը ռիալ  Ուկրաինայի գրիվեն 
Իրանը ռիալ  ԱՄՆ դոլար
Իրանը ռիալ  Վիետնամ Դոնգ 
Իրանը ռիալ  Ալժիր դինար 
Իրանը ռիալ  Անգոլա Կվանզա  
Իրանը ռիալ  Արգենտինա Պեսո
Իրանը ռիալ  Հայաստան դրամ
Իրանը ռիալ  Բրազիլիա ռեալ 
Իրանը ռիալ  Բուլղարիա լեվ
Իրանը ռիալ  Կամբոջիա Ռիյել
Իրանը Ռիալ  Կանադա դոլարը
Իրանը ռիալ  Խորվաթիա Կունա 
Իրանը ռիալ  Դանիա կրոնը
Իրանը ռիալ  Եվրոպա եվրո
Իրանը ռիալ  Հունգարիա ֆորինտ
Իրանը ռիալ  Հնդկաստան ռուփի
Ճապոնիան իեն Կորեան հաղթեց
Ճապոնիան իեն Լատվիա լատս 
Ճապոնիան իեն Լիտվա լիտաս 
Ճապոնիան իեն Մակեդոնիա դենար 
Ճապոնիան իեն Մալայզիա Ռինգիթ
Ճապոնիան իեն Մեքսիկա Պեսո
Ճապոնիան իեն Նիգերիա ՆԱԻՌԱ 
Ճապոնիան իեն Լեհաստան զլոտի
Ճապոնիան իեն Ռումինիա Լեու 
Ճապոնիան իեն Ռուսաստանը ռուբլի 
Ճապոնիան իեն Շվեդիա կռոն 
Ճապոնիան իեն Թաիլանդ բահթ 
Ճապոնիան իեն Ուկրաինայի գրիվեն 
Ճապոնիան իեն ԱՄՆ դոլար
Ճապոնիան իեն Վիետնամ Դոնգ 
Ճապոնիան իեն Ալժիր դինար 
Ճապոնիան իեն Անգոլա Կվանզա  
Ճապոնիան իեն Արգենտինա Պեսո
Ճապոնիան իեն Հայաստան դրամ
Ճապոնիան իեն Բրազիլիա ռեալ 
Ճապոնիան իեն Բուլղարիա լեվ
Ճապոնիան իեն Կամբոջիա Ռիյել
Ճապոնիան իեն Կանադա դոլարը
Ճապոնիան իեն Խորվաթիա Կունա 
Ճապոնիան իեն Դանիա կրոնը
Ճապոնիան իեն Եվրոպա եվրո
Ճապոնիան իեն Հունգարիա ֆորինտ
Ճապոնիան իեն Հնդկաստան ռուփի
Ճապոնիան իեն Իրանը ռիալ 
Կորեայի հավաքականը հաղթեց Լատվիա լատս 
Կորեայի հավաքականը հաղթեց Լիտվա լիտաս 
Կորեայի հավաքականը հաղթեց Մակեդոնիա դենար 
Կորեայի հավաքականը հաղթեց Մալայզիա Ռինգիթ
Կորեայի հավաքականը հաղթեց Մեքսիկա պեսո
Կորեայի հավաքականը հաղթեց Նիգերիա ՆԱԻՌԱ 
Կորեայի հավաքականը հաղթեց Լեհաստան զլոտի
Կորեայի հավաքականը հաղթեց Ռումինիա Լեու 
Կորեայի հավաքականը հաղթեց Ռուսաստան ռուբլի
Կորեայի հավաքականը հաղթեց Շվեդիա կռոն 
Կորեայի հավաքականը հաղթեց Թաիլանդ բահթ 
Կորեայի հավաքականը հաղթեց Ուկրաինա գրիվեն 
Կորեայի հավաքականը հաղթեց ԱՄՆ դոլար
Կորեայի հավաքականը հաղթեց Վիետնամ առաջ
Կորեայի հավաքականը հաղթեց Ալժիրի դինար
Կորեայի հավաքականը հաղթեց Անգոլա Կվանզա  
Կորեայի հավաքականը հաղթեց Արգենտինա պեսո
Կորեայի հավաքականը հաղթեց Հայաստանին դրամ
Կորեայի հավաքականը հաղթեց Բրազիլիայի ռեալ 
Կորեայի հավաքականը հաղթեց Բուլղարիա լեվ
Կորեայի հավաքականը հաղթեց Կամբոջիա Ռիյել
Կորեայի հավաքականը հաղթեց Կանադա դոլարը
Կորեայի հավաքականը հաղթեց Խորվաթիա կունա 
Կորեայի հավաքականը հաղթեց Դանիային կռոն 
Կորեայի հավաքականը հաղթեց Եվրոպա եվրո
Կորեայի հավաքականը հաղթեց Հունգարիա ֆորինտ 
Կորեայի հավաքականը հաղթեց Հնդկաստան ռուփի 
Կորեայի հավաքականը հաղթեց Իրանը ռիալ 
Կորեայի հավաքականը հաղթեց Ճապոնիայի յեն
Լատվիա լատ Լիտվա լիտաս 
Լատվիա լատ Մակեդոնիա դենար 
Լատվիա լատ Մալայզիա Ռինգիթ
Լատվիա լատ Մեքսիկա պեսո
Լատվիա լատ Նիգերիա ՆԱԻՌԱ 
Լատվիա լատ Լեհաստան զլոտի
Լատվիա լատ Ռումինիա Լեու 
Լատվիա լատ Ռուսաստան ռուբլի
Լատվիա լատ Շվեդիա կռոն 
Լատվիա լատ Թաիլանդ բահթ 
Լատվիա լատ Ուկրաինա գրիվեն 
Լատվիա լատ ԱՄՆ դոլար
Լատվիա լատ Վիետնամ առաջ
Լատվիա լատ Ալժիրի դինար
Լատվիա լատ Անգոլա Կվանզա  
Լատվիա լատ Արգենտինա պեսո
Լատվիա լատ Հայաստան դրամ
Լատվիա լատ Բրազիլիա ռեալ 
Լատվիա լատ Բուլղարիա լեվ
Լատվիա լատ Կամբոջիա Ռիյել
Լատվիա լատ Կանադա դոլարը
Լատվիա լատ Խորվաթիա կունա 
Լատվիա լատ Դանիա կռոն 
Լատվիա լատ Եվրոպա եվրո
Լատվիա լատ Հունգարիա ֆորինտ 
Լատվիա լատ Հնդկաստան ռուփի 
Լատվիա լատ Իրան ռիալ
Լատվիա լատ Ճապոնիա յեն
Լատվիա լատ Կորեայի հավաքականը հաղթեց
Լիտվան լիտաս  Մակեդոնիա դենար 
Լիտվան լիտաս  Մալայզիա Ռինգիթ
Լիտվան լիտաս  Մեքսիկա պեսո
Լիտվան լիտաս  Նիգերիա ՆԱԻՌԱ 
Լիտվան լիտաս  Լեհաստան զլոտի
Լիտվան լիտաս  Ռումինիա Լեու 
Լիտվան լիտաս  Ռուսաստան ռուբլի
Լիտվան լիտաս  Շվեդիա կռոն 
Լիտվան լիտաս  Թաիլանդ բահթ 
Լիտվան լիտաս  Ուկրաինա գրիվեն 
Լիտվան լիտաս  ԱՄՆ դոլար
Լիտվան լիտաս  Վիետնամ առաջ
Լիտվան լիտաս  Ալժիրի դինար
Լիտվան լիտաս  Անգոլա Կվանզա  
Լիտվան լիտաս  Արգենտինա պեսո
Լիտվան լիտաս  Հայաստան դրամ
Լիտվան լիտաս  Բրազիլիա ռեալ 
Լիտվան լիտաս  Բուլղարիա լեվ
Լիտվան լիտաս  Կամբոջիա Ռիյել
Լիտվան լիտաս  Կանադա դոլարը
Լիտվան լիտաս  Խորվաթիա կունա 
Լիտվան լիտաս  Դանիա կռոն 
Լիտվան լիտաս  Եվրոպա եվրո
Լիտվան լիտաս  Հունգարիա ֆորինտ 
Լիտվան լիտաս  Հնդկաստան ռուփի 
Լիտվան լիտաս  Իրան ռիալ
Լիտվան լիտաս  Ճապոնիա յեն
Լիտվան լիտաս  Կորեայի հավաքականը հաղթեց
Լիտվան լիտաս  Լատվիա լատս 
Մակեդոնիա դենար  Մալայզիա Ռինգիթ
Մակեդոնիա դենար  Մեքսիկա Պեսո
Մակեդոնիա դենար  Նիգերիա ՆԱԻՌԱ 
Մակեդոնիա դենար  Լեհաստան զլոտի
Մակեդոնիա դենար  Ռումինիա Լեու 
Մակեդոնիա դենար  Ռուսաստանը ռուբլի 
Մակեդոնիա դենար  Շվեդիա կռոն 
Մակեդոնիա դենար  Թաիլանդ բահթ 
Մակեդոնիա դենար  Ուկրաինայի գրիվեն 
Մակեդոնիա դենար  ԱՄՆ դոլար
Մակեդոնիա դենար  Վիետնամ Դոնգ 
Մակեդոնիա դենար  Ալժիր դինար 
Մակեդոնիա դենար  Անգոլա Կվանզա  
Մակեդոնիա դենար  Արգենտինա Պեսո
Մակեդոնիա դենար  Հայաստան դրամ
Մակեդոնիա դենար  Բրազիլիա ռեալ 
Մակեդոնիա դենար  Բուլղարիա լեվ
Մակեդոնիա դենար  Կամբոջիա Ռիյել
Մակեդոնիա դենար  Կանադա դոլարը
Մակեդոնիա դենար  Խորվաթիա Կունա 
Մակեդոնիա դենար  Դանիա կրոնը
Մակեդոնիա դենար  Եվրոպա եվրո
Մակեդոնիա դենար  Հունգարիա ֆորինտ
Մակեդոնիա դենար  Հնդկաստան ռուփի
